iter	Passed	Remaining
176	573	2664
177	576	2660
178	578	2654
179	582	2651
180	585	2647
181	586	2636
182	588	2629
183	592	2627
184	594	2621
185	598	2618
186	601	2615
187	605	2614
188	608	2611
189	611	2607
190	615	2605
191	618	2602
192	621	2599
193	625	2597
194	628	2593
195	631	2591
196	633	2584
197	636	2577
198	639	2575
199	643	2572
200	646	2568
201	649	2567
202	653	2565
203	656	2563
204	660	2561
205	663	2559
206	667	2555
207	670	2552
208	673	2550
209	677	2547
210	680	2545
211	684	2542
212	687	2541
213	691	2538
214	694	2537
215	699	2538
216	703	2539
217	708	2541
218	712	2540
219	715	2538
220	719	2536
221	722	2533
222	726	2532
223	730	2529
224	733	2527
225	737	2526
226	741	2526
227	745	2524
228	749	2523
229	754	2524
230	757	2522
231	761	2519
232	764	2517
233	768	2516
234	772	2513
235	775	2511
236	778	2507
237	782	2505
238	786	2503
239	789	2498
240	792	2497
241	796	2494
242	799	2489
243	803	2489
244	806	2485
245	809	2481
246	812	2477
247	815	2473
248	818	2470
249	821	2463
250	823	2458
251	826	2452
252	829	2448
253	831	2442
254	834	2437
255	837	2433
256	840	2429
257	843	2426
258	846	2423
259	850	2419
260	853	2416
261	857	2414
262	860	2411
263	864	2409
264	867	2407
265	870	2403
266	873	2399
267	877	2396
268	880	2391
269	883	2389
270	887	2386
271	890	2383
272	893	2379
273	896	2376
274	900	2373
275	903	2370
276	906	2367
277	910	2364
278	914	2362
279	917	2360
280	921	2357
281	924	2354
282	928	2352
283	931	2348
284	934	2344
285	938	2342
286	941	2338
287	944	2334
288	947	2330
289	951	2328
290	953	2324
291	957	2321
292	960	2317
293	962	2312
294	965	2308
295	968	2304
296	972	2301
297	975	2298
298	979	2296
299	982	2292
300	985	2288
301	989	2285
302	991	2281
303	995	2279
304	998	2275
305	1001	2271
306	1004	2267
307	1007	2263
308	1010	2260
309	1013	2256
310	1016	2253
311	1020	2250
312	1023	2247
313	1027	2244
314	1031	2242
315	1034	2239
316	1037	2235
317	1041	2232
318	1044	2229
319	1047	2224
320	1050	2221
321	1053	2218
322	1056	2215
323	1060	2212
324	1063	2209
325	1067	2207
326	1070	2202
327	1072	2198
328	1075	2193
329	1078	2190
330	1081	2186
331	1085	2184
332	1089	2181
333	1093	2179
334	1096	2176
335	1099	2171
336	1101	2166
337	1103	2161
338	1107	2159
339	1110	2155
340	1113	2152
341	1117	2149
342	1120	2146
343	1124	2143
344	1127	2140
345	1130	2137
346	1134	2134
347	1137	2130
348	1140	2127
349	1143	2123
350	1146	2120
351	1149	2116
352	1153	2113
353	1156	2111
354	1160	2108
355	1164	2106
356	1168	2104
357	1172	2102
358	1175	2098
359	1179	2096
360	1182	2093
361	1185	2090
362	1189	2086
363	1192	2083
364	1195	2079
365	1198	2075
366	1201	2072
367	1204	2069
368	1208	2065
369	1211	2062
370	1214	2059
371	1217	2055
372	1220	2051
373	1223	2048
374	1226	2044
375	1229	2041
376	1233	2037
377	1236	2034
378	1239	2031
379	1242	2027
380	1246	2024
381	1249	2021
382	1252	2018
383	1255	2014
384	1258	2010
385	1261	2007
386	1265	2004
387	1268	2000
388	1271	1997
389	1275	1995
390	1279	1992
391	1282	1989
392	1287	1987
393	1289	1983
394	1293	1980
395	1296	1977
396	1300	1974
397	1303	1971
398	1306	1968
399	1310	1966
400	1313	1962
401	1317	1960
402	1321	1957
403	1324	1954
404	1327	1951
405	1331	1947
406	1334	1944
407	1337	1941
408	1341	1938
409	1344	1935
410	1348	1931
411	1351	1928
412	1354	1925
413	1358	1922
414	1361	1919
415	1365	1916
416	1368	1912
417	1371	1909
418	1374	1906
419	1377	1902
420	1381	1899
421	1385	1897
422	1388	1893
423	1391	1890
424	1395	1887
425	1398	1884
426	1401	1881
427	1405	1877
428	1408	1874
429	1412	1872
430	1415	1869
431	1418	1865
432	1422	1862
433	1425	1859
434	1429	1856
435	1432	1853
436	1435	1849
437	1438	1845
438	1441	1842
439	1445	1839
440	1448	1836
441	1451	1832
442	1454	1828
443	1457	1825
444	1460	1822
445	1464	1818
446	1467	1815
447	1470	1812
448	1473	1808
449	1477	1805
450	1480	1802
451	1484	1799
452	1487	1796
453	1490	1792
454	1494	1789
455	1497	1786
456	1501	1783
457	1504	1780
458	1507	1776
459	1510	1772
460	1513	1769
461	1516	1766
462	1520	1762
463	1523	1759
464	1526	1756
465	1530	1753
466	1533	1750
467	1536	1746
468	1539	1743
469	1543	1740
470	1546	1736
471	1549	1733
472	1552	1730
473	1555	1726
474	1559	1723
475	1562	1720
476	1565	1716
477	1568	1712
478	1572	1709
479	1575	1706
480	1578	1703
481	1581	1699
482	1585	1697
483	1588	1693
484	1592	1690
485	1595	1687
486	1598	1683
487	1602	1681
488	1606	1678
489	1609	1675
490	1613	1672
491	1617	1670
492	1621	1667
493	1624	1664
494	1628	1661
495	1631	1657
496	1634	1654
497	1638	1651
498	1642	1649
499	1645	1645
500	1649	1642
501	1652	1639
502	1655	1636
503	1660	1633
504	1664	1631
505	1667	1628
506	1671	1625
507	1675	1622
508	1678	1619
509	1682	1616
510	1686	1613
511	1690	1611
512	1694	1608
513	1698	1606
514	1703	1603
515	1706	1600
516	1709	1597
517	1713	1594
518	1717	1591
519	1720	1588
520	1723	1584
521	1727	1581
522	1730	1578
523	1733	1575
524	1736	1571
525	1740	1568
526	1744	1565
527	1747	1562
528	1750	1558
529	1754	1555
530	1757	1552
531	1761	1549
532	1763	1545
533	1767	1542
534	1771	1539
535	1774	1536
536	1777	1532
537	1780	1529
538	1784	1526
539	1787	1522
540	1791	1519
541	1794	1516
542	1797	1513
543	1800	1509
544	1804	1506
545	1807	1503
546	1811	1499
547	1814	1496
548	1817	1492
549	1820	1489
550	1823	1486
551	1827	1483
552	1830	1479
553	1834	1476
554	1837	1473
555	1840	1469
556	1843	1466
557	1847	1463
558	1851	1460
559	1855	1457
560	1858	1454
561	1861	1451
562	1865	1447
563	1868	1444
564	1871	1440
565	1874	1437
566	1878	1434
567	1881	1431
568	1884	1427
569	1888	1424
570	1891	1420
571	1894	1417
572	1898	1414
573	1901	1411
574	1905	1408
575	1908	1405
576	1911	1401
577	1915	1398
578	1918	1395
579	1921	1391
580	1925	1388
581	1928	1385
582	1931	1381
583	1935	1378
584	1939	1375
585	1942	1372
586	1946	1369
587	1948	1365
588	1951	1361
589	1954	1358
590	1958	1355
591	1961	1351
592	1964	1348
593	1968	1345
594	1970	1341
595	1974	1338
596	1977	1334
597	1980	1331
598	1984	1328
599	1986	1324
600	1990	1321
601	1993	1317
602	1996	1314
603	1999	1311
604	2003	1308
605	2007	1304
606	2010	1301
607	2013	1298
608	2016	1294
609	2019	1291
610	2022	1287
611	2025	1284
612	2028	1280
613	2031	1277
614	2035	1274
615	2038	1270
616	2041	1267
617	2045	1264
618	2048	1260
619	2051	1257
620	2055	1254
621	2058	1251
622	2061	1247
623	2064	1243
624	2067	1240
625	2070	1237
626	2074	1234
627	2077	1230
628	2081	1227
629	2084	1224
630	2087	1220
631	2090	1217
632	2094	1214
633	2097	1211
634	2101	1207
635	2105	1204
636	2108	1201
637	2111	1198
638	2115	1195
639	2119	1192
640	2122	1188
641	2125	1185
642	2128	1182
643	2132	1178
644	2135	1175
645	2138	1171
646	2141	1168
647	2145	1165
648	2149	1162
649	2152	1159
650	2156	1155
651	2159	1152
652	2162	1149
653	2166	1146
654	2169	1142
655	2172	1139
656	2175	1135
657	2179	1132
658	2182	1129
659	2185	1126
660	2189	1122
661	2192	1119
662	2194	1115
663	2198	1112
664	2201	1109
665	2205	1105
666	2208	1102
667	2211	1099
668	2216	1096
669	2219	1093
670	2222	1089
671	2226	1086
672	2228	1082
673	2232	1079
674	2235	1076
675	2238	1072
676	2241	1069
677	2244	1065
678	2247	1062
679	2250	1059
680	2253	1055
681	2257	1052
682	2261	1049
683	2265	1046
684	2268	1043
685	2271	1039
686	2275	1036
687	2278	1033
688	2282	1030
689	2285	1026
690	2289	1023
691	2292	1020
692	2296	1017
693	2299	1013
694	2302	1010
695	2305	1007
696	2309	1003
697	2312	1000
698	2315	996
699	2318	993
700	2321	990
701	2324	986
702	2327	983
703	2331	980
704	2334	976
705	2338	973
706	2341	970
707	2344	966
708	2348	963
709	2351	960
710	2354	957
711	2358	953
712	2361	950
713	2364	947
714	2368	943
715	2371	940
716	2374	937
717	2377	933
718	2381	930
719	2384	927
720	2387	923
721	2391	920
722	2394	917
723	2397	914
724	2400	910
725	2404	907
726	2406	903
727	2409	900
728	2412	896
729	2415	893
730	2417	889
731	2420	886
732	2424	882
733	2426	879
734	2430	876
735	2433	872
736	2437	869
737	2439	866
738	2443	862
739	2446	859
740	2450	856
741	2453	853
742	2457	850
743	2460	846
744	2464	843
745	2467	840
746	2471	836
747	2474	833
748	2477	830
749	2480	826
750	2483	823
751	2486	820
752	2490	816
753	2493	813
754	2497	810
755	2500	807
756	2504	804
757	2507	800
758	2511	797
759	2514	793
760	2517	790
761	2521	787
762	2524	784
763	2528	781
764	2532	777
765	2535	774
766	2539	771
767	2542	768
768	2545	764
769	2549	761
770	2552	758
771	2555	754
772	2558	751
773	2562	748
774	2564	744
775	2568	741
776	2571	738
777	2574	734
778	2578	731
779	2582	728
780	2585	724
781	2588	721
782	2592	718
783	2595	714
784	2598	711
785	2601	708
786	2604	704
787	2607	701
788	2610	698
789	2614	694
790	2617	691
791	2621	688
792	2625	685
793	2627	681
794	2630	678
795	2634	675
796	2637	671
797	2640	668
798	2643	664
799	2646	661
800	2650	658
801	2653	655
802	2655	651
803	2659	648
804	2662	644
805	2666	641
806	2669	638
807	2672	635
808	2675	631
809	2679	628
810	2682	625
811	2686	621
812	2689	618
813	2693	615
814	2696	612
815	2700	608
816	2703	605
817	2707	602
818	2710	599
819	2714	595
820	2717	592
821	2721	589
822	2725	586
823	2728	582
824	2731	579
825	2734	576
826	2738	572
827	2741	569
828	2744	566
829	2747	562
830	2750	559
831	2754	556
832	2757	552
833	2760	549
834	2764	546
835	2768	543
836	2771	539
837	2774	536
838	2778	533
839	2782	529
840	2785	526
841	2789	523
842	2791	519
843	2795	516
844	2798	513
845	2801	510
846	2805	506
847	2808	503
848	2811	500
849	2814	496
850	2818	493
851	2822	490
852	2825	486
853	2828	483
854	2831	480
855	2834	476
856	2837	473
857	2840	470
858	2843	466
859	2847	463
860	2850	460
861	2853	456
862	2856	453
863	2860	450
864	2863	446
865	2866	443
866	2870	440
867	2873	436
868	2876	433
869	2879	430
870	2881	426
871	2884	423
872	2887	420
873	2891	416
874	2894	413
875	2898	410
876	2901	406
877	2904	403
878	2907	400
879	2911	396
880	2913	393
881	2916	390
882	2919	386
883	2923	383
884	2926	380
885	2930	377
886	2933	373
887	2936	370
888	2939	367
889	2941	363
890	2944	360
891	2946	356
892	2949	353
893	2951	349
894	2954	346
895	2956	343
896	2958	339
897	2961	336
898	2964	333
899	2967	329
900	2970	326
901	2973	323
902	2975	319
903	2978	316
904	2981	313
905	2985	309
906	2988	306
907	2991	303
908	2994	299
909	2997	296
910	3001	293
911	3004	289
912	3007	286
913	3010	283
914	3013	279
915	3016	276
916	3019	273
917	3022	270
918	3025	266
919	3029	263
920	3032	260
921	3035	256
922	3038	253
923	3041	250
924	3044	246
925	3047	243
926	3050	240
927	3053	236
928	3057	233
929	3060	230
930	3064	227
931	3067	223
932	3070	220
933	3073	217
934	3077	213
935	3079	210
936	3083	207
937	3086	203
938	3089	200
939	3092	197
940	3096	194
941	3099	190
942	3102	187
943	3106	184
944	3110	181
945	3113	177
946	3116	174
947	3119	171
948	3123	167
949	3126	164
950	3129	161
951	3132	157
952	3136	154
953	3139	151
954	3142	148
955	3146	144
956	3149	141
957	3153	138
958	3156	134
959	3159	131
960	3162	128
961	3165	125
962	3168	121
963	3172	118
964	3175	115
965	3178	111
966	3181	108
967	3185	105
968	3188	101
969	3191	98
970	3193	95
971	3197	92
972	3200	88
973	3203	85
974	3207	82
975	3210	78
976	3214	75
977	3217	72
978	3220	69
979	3224	65
980	3227	62
981	3230	59
982	3234	55
983	3237	52
984	3240	49
985	3243	46
986	3247	42
987	3250	39
988	3253	36
989	3257	32
990	3259	29
991	3263	26
992	3266	23
993	3269	19
994	3272	16
995	3275	13
996	3279	9
997	3282	6
998	3285	3
999	3288	0
